"","FIPS","essential_job_numbers"
"312","8085",73505
"313","8087",97925
"314","8089",66755
"315","8091",21900
"316","8093",31093
"317","8095",21561
"318","8097",22716
"319","8099",74315
"320","8101",54817
"321","8103",44272
"322","8105",52991
"323","8107",65429
"324","8109",27205
"325","8111",23625
"326","8113",61790
"327","8115",50414
"328","8117",35763
"329","8119",45229
"330","8121",3483
"331","8123",57525
"332","8125",48976
"333","9001",68923
"334","9003",81181
"335","9005",16026
"336","9007",47837
"337","9009",63923
"338","9011",71493
"339","9013",28461
"340","9015",39324
"341","10001 ",40109
"342","10003 ",36198
"343","10005 ",68217
"344","11001 ",72969
"345","12001 ",73656
"346","12003 ",72739
"347","12005 ",57896
"348","12007 ",67913
"349","12009 ",92736
"350","12011 ",83893
"351","12013 ",19104
"352","12015 ",68794
"353","12017 ",91908
"354","12019 ",32685
"355","12021 ",74844
"356","12023 ",38352
"357","12027 ",66967
"358","12029 ",47534
"359","12031 ",72238
"360","12033 ",58925
"361","12035 ",45371
"362","12037 ",63826
"363","12039 ",96013
"364","12041 ",58427
"365","12043 ",33181
"366","12045 ",88465
"367","12047 ",18423
"368","12049 ",41191
"369","12051 ",81133
"370","12053 ",65631
"371","12055 ",84338
"372","12057 ",88379
"373","12059 ",25418
"374","12061 ",69927
"375","12063 ",55051
"376","12065 ",82580
"377","12067 ",21590
"378","12069 ",67725
"379","12071 ",83116
"380","12073 ",54433
"381","12075 ",73449
"382","12077 ",19500
"383","12079 ",49363
"384","12081 ",65814
"385","12083 ",84152
"386","12085 ",75401
"387","12086 ",85685
"388","12087 ",69673
"389","12089 ",46385
"390","12091 ",71039
"391","12093 ",72093
"392","12095 ",112108
"393","12097 ",74122
"394","12099 ",76759
"395","12101 ",76663
"396","12103 ",87944
"397","12105 ",52383
"398","12107 ",61501
"399","12109 ",53051
"400","12111 ",59163
"401","12113 ",59461
"402","12115 ",105813
"403","12117 ",107362
"404","12119 ",58908
"405","12121 ",93896
"406","12123 ",24730
"407","12125 ",49107
"408","12127 ",51362
"409","12129 ",94344
"410","12131 ",74189
"411","12133 ",34369
"412","13001 ",60944
"413","13003 ",22635
"414","13005 ",17963
"415","13007 ",21862
"416","13009 ",25905
"417","13011 ",55391
"418","13013 ",25903
"419","13015 ",28788
"420","13017 ",44359
"421","13019 ",25678
"422","13021 ",38225
"423","13023 ",26550
"424","13025 ",29488
"425","13027 ",48462
"426","13029 ",65213
"427","13031 ",20923
"428","13033 ",32491
"429","13035 ",3322
"430","13037 ",44203
"431","13039 ",21386
"432","13043 ",45034
"433","13045 ",35692
"434","13047 ",9654
"435","13049 ",33780
"436","13051 ",61318
"437","13053 ",16
"438","13055 ",30763
"439","13057 ",71509
"440","13059 ",47680
"441","13061 ",20341
"442","13063 ",48863
"443","13065 ",49504
"444","13067 ",62998
"445","13069 ",82136
"446","13071 ",55011
"447","13073 ",43710
"448","13075 ",29896
"449","13077 ",52776
"450","13079 ",59632
"451","13081 ",28208
"452","13083 ",25645
"453","13085 ",49743
"454","13087 ",50056
"455","13089 ",45599
"456","13091 ",50520
"457","13093 ",26555
"458","13095 ",64295
"459","13097 ",45412
"460","13099 ",46388
"461","13101 ",26607
"462","13103 ",12311
"463","13105 ",46392
"464","13107 ",64112
"465","13109 ",41467
"466","13111 ",16959
"467","13113 ",38236
"468","13115 ",38401
"469","13117 ",64727
"470","13119 ",46566
"471","13121 ",78872
"472","13123 ",10605
"473","13125 ",19
"474","13127 ",19375
"475","13129 ",43185
"476","13131 ",49871
"477","13133 ",28177
"478","13135 ",61838
"479","13137 ",25742
"480","13139 ",59649
"481","13141 ",14
"482","13143 ",90556
"483","13145 ",64182
"484","13147 ",45750
"485","13149 ",51240
"486","13151 ",70391
"487","13153 ",29511
"488","13155 ",35145
"489","13157 ",36643
"490","13159 ",80416
"491","13161 ",34755
"492","13163 ",59797
"493","13165 ",43383
"494","13167 ",45044
"495","13169 ",42993
"496","13171 ",95658
"497","13173 ",49963
"498","13175 ",15419
"499","13177 ",60017
"500","13179 ",37336
"501","13181 ",46883
"502","13183 ",40285
"503","13185 ",44194
"504","13187 ",49131
"505","13189 ",67356
"506","13191 ",30353
"507","13193 ",19228
"508","13195 ",67245
"509","13197 ",14
"510","13199 ",46551
"511","13201 ",42449
"512","13205 ",22267
"513","13207 ",44269
"514","13209 ",21374
"515","13211 ",49958
"516","13213 ",42692
"517","13215 ",83655
"518","13217 ",77568
"519","13219 ",24521
"520","13221 ",44911
"521","13223 ",70874
"522","13225 ",52099
"523","13227 ",32279
"524","13229 ",78947
"525","13231 ",40122
"526","13233 ",47397
"527","13235 ",26721
"528","13237 ",61822
"529","13239 ",24202
"530","13241 ",49489
"531","13243 ",41131
"532","13245 ",64923
"533","13247 ",35667
"534","13249 ",41343
"535","13251 ",71834
"536","13253 ",60198
"537","13255 ",93075
"538","13257 ",16396
"539","13259 ",309
"540","13261 ",32625
"541","13263 ",45623
"542","13265 ",4931
"543","13267 ",50551
"544","13269 ",32419
"545","13271 ",26485
"546","13273 ",38288
"547","13275 ",29690
"548","13277 ",34248
"549","13279 ",76161
"550","13281 ",32811
"551","13283 ",94776
"552","13285 ",20239
"553","13287 ",58337
"554","13289 ",18016
"555","13291 ",62211
"556","13293 ",80471
"557","13295 ",74297
"558","13297 ",43931
"559","13299 ",68943
"560","13301 ",42831
"561","13303 ",58667
"562","13305 ",30846
"563","13307 ",11947
"564","13309 ",9337
"565","13311 ",48095
"566","13313 ",45019
"567","13315 ",21737
"568","13317 ",27898
"569","13319 ",53974
"570","13321 ",37800
"571","15001 ",15954
"572","15003 ",53279
"573","15007 ",8606
"574","15901 ",59755
"575","16001 ",53242
"576","16003 ",38099
"577","16005 ",25209
"578","16007 ",21182
