"","Code","State","FIPS","Countynames"
"143","AR","Arkansas",5091,"Miller "
"144","AR","Arkansas",5093,"Mississippi "
"145","AR","Arkansas",5095,"Monroe "
"146","AR","Arkansas",5097,"Montgomery "
"147","AR","Arkansas",5099,"Nevada "
"148","AR","Arkansas",5101,"Newton "
"149","AR","Arkansas",5103,"Ouachita "
"150","AR","Arkansas",5105,"Perry "
"151","AR","Arkansas",5107,"Phillips "
"152","AR","Arkansas",5109,"Pike "
"153","AR","Arkansas",5111,"Poinsett "
"154","AR","Arkansas",5113,"Polk "
"155","AR","Arkansas",5115,"Pope "
"156","AR","Arkansas",5117,"Prairie "
"157","AR","Arkansas",5119,"Pulaski "
"158","AR","Arkansas",5121,"Randolph "
"159","AR","Arkansas",5123,"St. Francis "
"160","AR","Arkansas",5125,"Saline "
"161","AR","Arkansas",5127,"Scott "
"162","AR","Arkansas",5129,"Searcy "
"163","AR","Arkansas",5131,"Sebastian "
"164","AR","Arkansas",5133,"Sevier "
"165","AR","Arkansas",5135,"Sharp "
"166","AR","Arkansas",5137,"Stone "
"167","AR","Arkansas",5139,"Union "
"168","AR","Arkansas",5141,"Van Buren "
"169","AR","Arkansas",5143,"Washington "
"170","AR","Arkansas",5145,"White "
"171","AR","Arkansas",5147,"Woodruff "
"172","AR","Arkansas",5149,"Yell "
"173","AZ","Arizona",4001,"Apache "
"174","AZ","Arizona",4003,"Cochise "
"175","AZ","Arizona",4005,"Coconino "
"176","AZ","Arizona",4007,"Gila "
"177","AZ","Arizona",4009,"Graham "
"178","AZ","Arizona",4011,"Greenlee "
"179","AZ","Arizona",4012,"La Paz "
"180","AZ","Arizona",4013,"Maricopa "
"181","AZ","Arizona",4015,"Mohave "
"182","AZ","Arizona",4017,"Navajo "
"183","AZ","Arizona",4019,"Pima "
"184","AZ","Arizona",4021,"Pinal "
"185","AZ","Arizona",4023,"Santa Cruz "
"186","AZ","Arizona",4025,"Yavapai "
"187","AZ","Arizona",4027,"Yuma "
"188","CA","California",6000,"Grand Princess Cruis"
"189","CA","California",6001,"Alameda "
"190","CA","California",6003,"Alpine "
"191","CA","California",6005,"Amador "
"192","CA","California",6007,"Butte "
"193","CA","California",6009,"Calaveras "
"194","CA","California",6011,"Colusa "
"195","CA","California",6013,"Contra Costa "
"196","CA","California",6015,"Del Norte "
"197","CA","California",6017,"El Dorado "
"198","CA","California",6019,"Fresno "
"199","CA","California",6021,"Glenn "
"200","CA","California",6023,"Humboldt "
"201","CA","California",6025,"Imperial "
"202","CA","California",6027,"Inyo "
"203","CA","California",6029,"Kern "
"204","CA","California",6031,"Kings "
"205","CA","California",6033,"Lake "
"206","CA","California",6035,"Lassen "
"207","CA","California",6037,"Los Angeles "
"208","CA","California",6039,"Madera "
"209","CA","California",6041,"Marin "
"210","CA","California",6043,"Mariposa "
"211","CA","California",6045,"Mendocino "
"212","CA","California",6047,"Merced "
"213","CA","California",6049,"Modoc "
"214","CA","California",6051,"Mono "
"215","CA","California",6053,"Monterey "
"216","CA","California",6055,"Napa "
"217","CA","California",6057,"Nevada "
"218","CA","California",6059,"Orange "
"219","CA","California",6061,"Placer "
"220","CA","California",6063,"Plumas "
"221","CA","California",6065,"Riverside "
"222","CA","California",6067,"Sacramento "
"223","CA","California",6069,"San Benito "
"224","CA","California",6071,"San Bernardino "
"225","CA","California",6073,"San Diego "
"226","CA","California",6075,"San Francisco "
"227","CA","California",6077,"San Joaquin "
"228","CA","California",6079,"San Luis Obispo "
"229","CA","California",6081,"San Mateo "
"230","CA","California",6083,"Santa Barbara "
"231","CA","California",6085,"Santa Clara "
"232","CA","California",6087,"Santa Cruz "
"233","CA","California",6089,"Shasta "
"234","CA","California",6091,"Sierra "
"235","CA","California",6093,"Siskiyou "
"236","CA","California",6095,"Solano "
"237","CA","California",6097,"Sonoma "
"238","CA","California",6099,"Stanislaus "
"239","CA","California",6101,"Sutter "
"240","CA","California",6103,"Tehama "
"241","CA","California",6105,"Trinity "
"242","CA","California",6107,"Tulare "
"243","CA","California",6109,"Tuolumne "
"244","CA","California",6111,"Ventura "
"245","CA","California",6113,"Yolo "
